Name,SMILES,BSEP ACTIVITY,,,,,,,
51026620,CC([C@@H]1[C@](C)([C@H]2CC1)CC[C@@H]([C@H]23)[C@](C)(C(=C4)CC3)CCC4=O)=O,1,,,,,,,
50739101,CC([C@@H](C(N[C@@H](Cc1ccccc1)C[C@@H]([C@@H](NC(COc2c(C)cccc2C)=O)Cc3ccccc3)O)=O)N4C(=O)NCCC4)C,1,,,,,,,
50774968,CC(O[C@@]1(C(=O)C)[C@](C)([C@H]2CC1)CC[C@@H]([C@H]23)[C@](C)(C(=C4)C(C)=C3)CCC4=O)=O,1,,,,,,,
50739100,CCC(N1C(=O)N(c2ccc(N3CCN(c4ccc(OCC5OC(c6c(Cl)cc(Cl)cc6)(Cn7ncnc7)OC5)cc4)CC3)cc2)C=N1)C,1,,,,,,,
50375403,COc1c(C)c(C)c(\C=C\C(=C\C=C\C(=C\C(=O)O)\C)\C)c(C)c1,1,,,,,,,
50753577,C[C@@]1([C@@](C#C)(O)CC2)[C@@H]2[C@H]3[C@@H]([C@H](C(=C4)CC3)CCC4=O)CC1,1,,,,,,,
50754036,OC(c1n(Cc2cc(C(F)(F)F)c(Cl)cc2)c(c3c1)ccc(O)c3)=O,1,,,,,,,
50753823,COC(C(C(c1c([N+](=O)[O-])cccc1)C(C(OC)=O)=C(C)N2)=C2C)=O,1,,,,,,,
50739099,CN[C@H]1[C@@H](OC)[C@]2(C)O[C@@H](n(c(c(c3c(c45)cccc4)n25)c6c(c37)C(=O)NC7)c(c68)cccc8)C1,1,,,,,,,
50774895,C[C@@]1([C@](C#C)(O)CC2)[C@@H]2[C@H]3[C@@H]([C@](C)(C(=C4)CC3)Cc(c45)cno5)CC1,1,,,,,,,
50739679,C[C@@]1(C(C#N)(O)CC2)[C@@H]2[C@H]3[C@@H]([C@](C)(C(=C4)CC3)Cc(c45)cno5)CC1,1,,,,,,,
50754051,OC[C@@H](CN1c(c2CC(NC(c3[nH]c(c4c3)ccc(Cl)c4)=O)C1=O)cccc2)O,1,,,,,,,
50754471,OC(c1n(Cc2cc(Cl)c(Cl)cc2)c(c3c1)ccc(O)c3F)=O,1,,,,,,,
50775618,CC[C@@H](C(O[C@@H]1[C@@H](C2=C[C@H](C)C1)[C@@H](CC[C@H]3OC(=O)C[C@H](O)C3)[C@@H](C)C=C2)=O)C,1,,,,,,,
50754116,COc1c(NS(c2c(c3ccc(CC(C)C)cc3)nccc2)(=O)=O)ncc(C)n1,1,,,,,,,
50754095,OC1(c2cc(C(F)(F)F)ccc2)CCN(CCCC(c3ccc(F)cc3)=O)CC1,1,,,,,,,
50754338,COc1c(F)cc(c2n(c3ccc(S(=O)(=O)N)cc3)nc(C(F)F)c2)cc1,1,,,,,,,
50753609,CN(C1CCCCC1)Cc2c(N)c(Br)cc(Br)c2,1,,,,,,,
50777195,CC(SCC(C(NCC(OCc1ccccc1)=O)=O)Cc2ccccc2)=O,1,,,,,,,
50754110,COc1c(OC)cc(CCN(CCCC(c2cc(OC)c(OC)cc2)(C(C)C)C#N)C)cc1,1,,,,,,,
50754315,CCCCCCCCCCCCc1ccc(S(Nc2scnn2)(=O)=O)cc1,1,,,,,,,
50739098,CC(NC([C@H]1N(C[C@H](C[C@H](C(N[C@H]2c(c3C[C@H]2O)cccc3)=O)Cc4ccccc4)O)CCN(Cc5cnccc5)C1)=O)(C)C,1,,,,,,,
50754302,C[C@@](C(F)(F)F)(C(Nc1ccc(C(c2ccccc2)=O)cc1)=O)O,1,,,,,,,
50739639,COc1c(Oc2c(OCCO)nc(c3ncccn3)nc2NS(c4ccc(C(C)(C)C)cc4)(=O)=O)cccc1,1,,,,,,,
50775623,CCOc1c(C(=O)O)ccc(CC(N[C@H](c2c(N3CCCCC3)cccc2)CC(C)C)=O)c1,1,,,,,,,
50774909,CO[C@H]1[C@@H](NC(c2c(OC)cc(N)c(Cl)c2)=O)CCN(CCCOc3ccc(F)cc3)C1,1,,,,,,,
50375253,OCC(COC(c1c(Nc2c(c3ncc2)ccc(Cl)c3)cccc1)=O)O,1,,,,,,,
50753245,OC(c1n(Cc2cc(Cl)c(Cl)cc2)c(c3c1)ncs3)=O,1,,,,,,,
50775465,CCOC(C(C(c1cc([N+](=O)[O-])ccc1)C(C(OC)=O)=C(C)N2)=C2C)=O,1,,,,,,,
50753264,COc1c(OCCCN2CCCCC2)cc(c3c1)ncnc3Oc4c(F)c(c5cc4)cc(C)[nH]5,1,,,,,,,
50753625,OC1(c2ccc(Cl)cc2)CCN(CCCC(c3ccc(F)cc3)=O)CC1,1,,,,,,,
50754232,COc1ccc(Nc2nn(c3ccccc3)cc2)cc1,1,,,,,,,
50753468,ONC(C1(CCOCC1)CS(c2ccc(Oc3ccc(Cl)cc3)cc2)(=O)=O)=O,1,,,,,,,
50777006,COc1c(OCCCN2CCC(c3c(c4on3)ccc(F)c4)CC2)ccc(C(=O)C)c1,1,,,,,,,
50753274,COc1c(OC)c(c2cc1)C(=O)OC2C3c(c4CCN3C)c(OC)c(c5c4)OCO5,1,,,,,,,
50775649,CCCCC(OCC([C@@]1(Cc(c2[C@@H](O[C@@H]3O[C@@H](C)[C@@H](O)[C@@H](NC(C(F)(F)F)=O)C3)C1)c(O)c(c4c2O)C(=O)c(c5C4=O)cccc5OC)O)=O)=O,1,,,,,,,
50753667,CSc1cc(c2cc1)N(CCC3N(C)CCCC3)c(c4S2)cccc4,1,,,,,,,
50739097,CCC(C(O[C@@H]1[C@@H](C2=C[C@H](C)C1)[C@@H](CC[C@H]3OC(=O)C[C@H](O)C3)[C@@H](C)C=C2)=O)(C)C,1,,,,,,,
50739368,COCC(O[C@]1([C@@H](C(C)C)c(c2CC1)ccc(F)c2)CCN(CCCc3[nH]c(c4n3)cccc4)C)=O,1,,,,,,,
50739576,CC(CN(S(c1ccc(N)cc1)(=O)=O)C[C@H]([C@@H](NC(O[C@@H]2COCC2)=O)Cc3ccccc3)O)C,1,,,,,,,
50739536,CNC(C[N+]([O-])=C(c1ccccc1)c(c23)cc(Cl)cc2)=N3,1,,,,,,,
